filename,handle,filename2,.tif
ksrl_sc_ms23_D.2.16.tif,http://hdl.handle.net/10407/0716723565,ksrl_sc_ms23_D.2.16,.tif
ksrl_sc_ms23_D.2.17.tif,http://hdl.handle.net/10407/2013651898,ksrl_sc_ms23_D.2.17,.tif
ksrl_sc_ms23_D.2.18.tif,http://hdl.handle.net/10407/3310580233,ksrl_sc_ms23_D.2.18,.tif
ksrl_sc_ms23_D.2.19.tif,http://hdl.handle.net/10407/4607508567,ksrl_sc_ms23_D.2.19,.tif
ksrl_sc_ms23_D.2.2.tif,http://hdl.handle.net/10407/5904436901,ksrl_sc_ms23_D.2.2,.tif
ksrl_sc_ms23_D.2.20.tif,http://hdl.handle.net/10407/7201365234,ksrl_sc_ms23_D.2.20,.tif
ksrl_sc_ms23_D.2.3.tif,http://hdl.handle.net/10407/8464163876,ksrl_sc_ms23_D.2.3,.tif
ksrl_sc_ms23_D.2.4.tif,http://hdl.handle.net/10407/9761092209,ksrl_sc_ms23_D.2.4,.tif
ksrl_sc_ms23_D.2.5.tif,http://hdl.handle.net/10407/1058020494,ksrl_sc_ms23_D.2.5,.tif
ksrl_sc_ms23_D.2.6.tif,http://hdl.handle.net/10407/2354948829,ksrl_sc_ms23_D.2.6,.tif
ksrl_sc_ms23_D.2.7.tif,http://hdl.handle.net/10407/3651877163,ksrl_sc_ms23_D.2.7,.tif
ksrl_sc_ms23_D.2.8.tif,http://hdl.handle.net/10407/4948805497,ksrl_sc_ms23_D.2.8,.tif
ksrl_sc_ms23_D.2.9.tif,http://hdl.handle.net/10407/6245733830,ksrl_sc_ms23_D.2.9,.tif
ksrl_sc_ms23_D.3.1.tif,http://hdl.handle.net/10407/7508532472,ksrl_sc_ms23_D.3.1,.tif
ksrl_sc_ms23_D.3.2.tif,http://hdl.handle.net/10407/8805460805,ksrl_sc_ms23_D.3.2,.tif
ksrl_sc_ms23_D.3.3.tif,http://hdl.handle.net/10407/0102389090,ksrl_sc_ms23_D.3.3,.tif
ksrl_sc_ms23_D.4.1.tif,http://hdl.handle.net/10407/1399317425,ksrl_sc_ms23_D.4.1,.tif
ksrl_sc_ms23_D.4.10.tif,http://hdl.handle.net/10407/2696245759,ksrl_sc_ms23_D.4.10,.tif
ksrl_sc_ms23_D.4.11.tif,http://hdl.handle.net/10407/3993174093,ksrl_sc_ms23_D.4.11,.tif
ksrl_sc_ms23_D.4.12.tif,http://hdl.handle.net/10407/5290102426,ksrl_sc_ms23_D.4.12,.tif
ksrl_sc_ms23_D.4.13.tif,http://hdl.handle.net/10407/6552901068,ksrl_sc_ms23_D.4.13,.tif
ksrl_sc_ms23_D.4.14.tif,http://hdl.handle.net/10407/7849829401,ksrl_sc_ms23_D.4.14,.tif
ksrl_sc_ms23_D.4.15.tif,http://hdl.handle.net/10407/9146757736,ksrl_sc_ms23_D.4.15,.tif
ksrl_sc_ms23_D.4.16.tif,http://hdl.handle.net/10407/0443686022,ksrl_sc_ms23_D.4.16,.tif
ksrl_sc_ms23_D.4.17.tif,http://hdl.handle.net/10407/1740614356,ksrl_sc_ms23_D.4.17,.tif
ksrl_sc_ms23_D.4.18.tif,http://hdl.handle.net/10407/3037542690,ksrl_sc_ms23_D.4.18,.tif
ksrl_sc_ms23_D.4.19.tif,http://hdl.handle.net/10407/4334471023,ksrl_sc_ms23_D.4.19,.tif
ksrl_sc_ms23_D.4.2.tif,http://hdl.handle.net/10407/5597269664,ksrl_sc_ms23_D.4.2,.tif
